2023-05-15 21:05:316 INFO  ComputerPage :32 - Click on Desktop[[ChromeDriver: chrome on WINDOWS (76d1835345f572eeb4f141ab0abefebd)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]<br>
2023-05-15 21:05:844 INFO  HomePage :71 - Get Mouse Hover to Electronic And Click On Cell Phone<br>
2023-05-15 21:05:424 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (a7807a6c44e428f3c0a3738bfaf74e95)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a7807a6c44e428f3c0a3738bfaf74e95)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a7807a6c44e428f3c0a3738bfaf74e95)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a7807a6c44e428f3c0a3738bfaf74e95)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a7807a6c44e428f3c0a3738bfaf74e95)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a7807a6c44e428f3c0a3738bfaf74e95)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a7807a6c44e428f3c0a3738bfaf74e95)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 21:05:447 INFO  ComputerPage :27 - Get text Computer[[ChromeDriver: chrome on WINDOWS (a7807a6c44e428f3c0a3738bfaf74e95)] -> xpath: //h1[contains(text(),'Computers')]]<br>
2023-05-15 21:05:495 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (28344eeca5155fe9fc745543575f865f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (28344eeca5155fe9fc745543575f865f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (28344eeca5155fe9fc745543575f865f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (28344eeca5155fe9fc745543575f865f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (28344eeca5155fe9fc745543575f865f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (28344eeca5155fe9fc745543575f865f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (28344eeca5155fe9fc745543575f865f)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 21:05:573 INFO  ComputerPage :27 - Get text ComputerProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'<br>
2023-05-15 21:05:137 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (526479d60949e6688595527a01eec633)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (526479d60949e6688595527a01eec633)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (526479d60949e6688595527a01eec633)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (526479d60949e6688595527a01eec633)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (526479d60949e6688595527a01eec633)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (526479d60949e6688595527a01eec633)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (526479d60949e6688595527a01eec633)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 21:05:895 INFO  ComputerPage :27 - Get text ComputerProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'<br>
2023-05-15 21:05:941 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (8ce287615be36cb4d106fbab236baf40)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (8ce287615be36cb4d106fbab236baf40)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (8ce287615be36cb4d106fbab236baf40)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (8ce287615be36cb4d106fbab236baf40)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (8ce287615be36cb4d106fbab236baf40)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (8ce287615be36cb4d106fbab236baf40)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (8ce287615be36cb4d106fbab236baf40)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 21:05:912 INFO  ComputerPage :27 - Get text ComputerProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'<br>
2023-05-15 21:05:313 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (a6acad84da1cd7e0ad4e9c406493be14)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a6acad84da1cd7e0ad4e9c406493be14)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a6acad84da1cd7e0ad4e9c406493be14)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a6acad84da1cd7e0ad4e9c406493be14)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a6acad84da1cd7e0ad4e9c406493be14)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a6acad84da1cd7e0ad4e9c406493be14)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a6acad84da1cd7e0ad4e9c406493be14)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 21:05:324 INFO  ComputerPage :27 - Get text ComputerProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'<br>
2023-05-15 21:05:490 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (fd908f6183be0a73c9ad84c8108ec85c)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (fd908f6183be0a73c9ad84c8108ec85c)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (fd908f6183be0a73c9ad84c8108ec85c)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (fd908f6183be0a73c9ad84c8108ec85c)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (fd908f6183be0a73c9ad84c8108ec85c)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (fd908f6183be0a73c9ad84c8108ec85c)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (fd908f6183be0a73c9ad84c8108ec85c)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 21:05:547 INFO  ComputerPage :27 - Get text ComputerProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'<br>
2023-05-15 21:05:33 INFO  HomePage :55 - Click Computer Tab[[ChromeDriver: chrome on WINDOWS (e4dffd22106dfe841ccca69e5e447894)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]<br>
2023-05-15 21:05:561 INFO  ComputerPage :32 - Click on Desktop[[ChromeDriver: chrome on WINDOWS (e4dffd22106dfe841ccca69e5e447894)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]<br>
2023-05-15 21:05:69 INFO  DesktopPage :34 - Sort By Position[[ChromeDriver: chrome on WINDOWS (e4dffd22106dfe841ccca69e5e447894)] -> id: products-orderby]<br>
2023-05-15 21:05:231 INFO  DesktopPage :50 - Add To Cart[[ChromeDriver: chrome on WINDOWS (e4dffd22106dfe841ccca69e5e447894)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[3]/div[1]/div[2]/div[3]/div[2]/button[1]]<br>
2023-05-15 21:05:715 INFO  HomePage :71 - Get Mouse Hover to Electronic And Click On Cell Phone<br>
2023-05-15 21:05:412 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (cf38e96d689a13cf28e2955d728cd6c5)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (cf38e96d689a13cf28e2955d728cd6c5)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (cf38e96d689a13cf28e2955d728cd6c5)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (cf38e96d689a13cf28e2955d728cd6c5)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (cf38e96d689a13cf28e2955d728cd6c5)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (cf38e96d689a13cf28e2955d728cd6c5)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (cf38e96d689a13cf28e2955d728cd6c5)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
